============================================================
                       ES Training                       
============================================================
[09:47:12] out_dir=training_history_20260630_094712
[09:47:12] params=553,053
[09:47:12] seed=42
[09:47:12] pop_size=48
[09:47:12] sigma=0.3
[09:47:12] lr=0.1
[09:47:12] workers=16
[09:47:12] games_per_ind=6
[09:47:12] generations=200
[09:47:12] opponents=random from population (self-play)
------------------------------------------------------------
[09:47:12] mode=synthetic test
[09:47:12] init_dist_to_target=9.2390
gen=gen  best=best_fit  avg=avg_fit  eval_s=eval(s)  total_s=total(s)  dist=dist_to_target
gen=77  best=0.0875  avg=0.0842  eval_s=2.2  total_s=2.6  dist=5.33
gen=78  best=0.0870  avg=0.0844  eval_s=2.2  total_s=2.6  dist=5.29
gen=79  best=0.0883  avg=0.0845  eval_s=2.2  total_s=2.6  dist=5.27
[09:50:43] checkpoint=training_history_20260630_094712\gen_0080.pt
gen=80  best=0.0880  avg=0.0843  eval_s=2.1  total_s=2.6  dist=5.23
gen=81  best=0.0879  avg=0.0846  eval_s=2.2  total_s=2.6  dist=5.20
gen=82  best=0.0889  avg=0.0847  eval_s=2.2  total_s=2.6  dist=5.18
gen=83  best=0.0878  avg=0.0846  eval_s=2.1  total_s=2.6  dist=5.13
gen=84  best=0.0872  avg=0.0847  eval_s=2.2  total_s=2.6  dist=5.10
gen=85  best=0.0880  avg=0.0849  eval_s=2.1  total_s=2.6  dist=5.07
gen=86  best=0.0894  avg=0.0855  eval_s=2.1  total_s=2.6  dist=5.04
gen=87  best=0.0896  avg=0.0853  eval_s=2.1  total_s=2.6  dist=5.01
gen=88  best=0.0890  avg=0.0851  eval_s=2.2  total_s=2.6  dist=4.98
gen=89  best=0.0905  avg=0.0856  eval_s=2.1  total_s=2.6  dist=4.95
[09:51:09] checkpoint=training_history_20260630_094712\gen_0090.pt
gen=90  best=0.0889  avg=0.0858  eval_s=2.2  total_s=2.6  dist=4.93
gen=91  best=0.0889  avg=0.0852  eval_s=2.1  total_s=2.6  dist=4.90
